id_fibra,classe,file,durata_s,rms_dbfs,picco_dbfs,crest_db,clipping_pct,baricentro_hz,banda_spettrale_hz,flatness_spettrale,rolloff_85_hz,rolloff_95_hz,picco_spettrale_hz,energia_bassa_pct,energia_media_pct,energia_alta_pct,kurtosis,skewness,zero_crossing_rate_hz
fibra4,MOTOREa5M,campione_1785923050209.wav,5.0,-44.04734992955839,-23.27307243464391,20.774277494914482,0.0,5995.945281402213,3989.6736145328728,0.097468262864335,11901.2,11950.400000000001,99.0,35.10233898819333,5.948130734353525,58.94953027745313,2.670316976539718,0.16161884525344594,2438.6
fibra4,MOTOREa5M,campione_1785923055290.wav,5.0,-44.09152020244581,-22.26721157498728,21.824308627458528,0.0,5996.062563396372,3963.7071452180385,0.09969203755990308,11901.2,11950.400000000001,99.0,34.78953575106439,5.984199749894826,59.22626449904079,2.601336933199219,0.18383643533356786,2460.6
fibra4,MOTOREa5M,campione_1785923060369.wav,5.0,-44.01816696306348,-23.230673954793634,20.787493008269845,0.0,5996.051630023477,3962.888728674067,0.10068475863503779,11901.2,11950.400000000001,99.0,34.43651103173503,6.087243935016049,59.47624503324891,2.928393352301499,0.27167016845416253,2510.8
fibra4,MOTOREa5M,campione_1785923065449.wav,5.0,-43.869821493919304,-22.17819497889987,21.691626515019433,0.0,5996.174733495749,3957.361970777181,0.10619558879857614,11901.2,11941.800000000001,99.0,33.13225959773589,6.724900555086344,60.142839847177754,3.0368631650666496,0.23031621932843227,2466.8
fibra4,MOTOREa5M,campione_1785923070534.wav,5.0,-43.893692197897245,-23.20763444655764,20.686057751339604,0.0,5996.433556576662,3967.131819149993,0.0969540937680336,11901.2,11950.400000000001,99.0,35.097993788336304,5.8903442482104555,59.01166196345325,2.8190833962044755,0.23727842593091988,2391.6
fibra4,MOTOREa5M,campione_1785923075793.wav,5.0,-43.94543439573418,-22.858122563309294,21.087311832424888,0.0,5996.18614859733,3970.6593439559565,0.10138389460078828,11901.2,11950.400000000001,98.80000000000001,34.0045285174594,6.504970109430513,59.49050137311009,2.7077383080047372,0.25215346274576084,2407.6
fibra4,MOTOREa5M,campione_1785923080861.wav,5.0,-43.72223699967196,-23.048046685400475,20.67419031427149,0.0,5996.072476748518,3970.828035566145,0.09989108335261242,11901.2,11950.400000000001,98.80000000000001,34.165648131708245,6.454730554888092,59.37962131340367,2.6357514487255287,0.22002098140950765,2435.0
fibra4,MOTOREa5M,campione_1785923086113.wav,5.0,-43.76303185877844,-21.92972197665421,21.83330988212423,0.0,5996.077078719226,3969.410929071566,0.10114462620557187,11901.2,11950.400000000001,98.80000000000001,34.11431683212237,6.407899629007971,59.47778353886968,3.0448372356502738,0.22071875447083328,2469.0
fibra4,MOTOREa5M,campione_1785923091190.wav,5.0,-43.79354624805753,-24.019014001767573,19.774532246289958,0.0,5996.3449549845445,3970.9573551495973,0.10076251394797686,11901.2,11950.400000000001,98.80000000000001,34.10060387426,6.488179101911635,59.41121702382836,2.8305726412071364,0.20354669946572887,2461.0
fibra4,MOTOREa5M,campione_1785923096275.wav,5.0,-43.684902413685876,-24.807380578985413,18.877521834700463,0.0,5996.201491415675,3977.1499796399726,0.0949969239077514,11901.2,11950.400000000001,99.0,35.140068429038266,6.015243266533902,58.84468830442784,2.42491107234395,0.2019654411173088,2414.2
fibra4,MOTOREa5M,campione_1785923101188.wav,5.0,-43.549634798099824,-24.0063922177589,19.543242580340923,0.0,5996.466754752512,3977.769504537166,0.10266660864221284,11901.2,11940.2,98.80000000000001,33.36377327723273,7.127096998143528,59.50912972462373,2.4714600474280566,0.20885324541787,2546.4
fibra4,MOTOREa5M,campione_1785923106262.wav,5.0,-43.342661316301886,-24.01480470219397,19.327856614107915,0.0,5996.292926140337,4023.8053268996396,0.09993016901470649,11901.2,11905.2,98.80000000000001,34.31465142932026,6.430100505623875,59.25524806505586,2.645860022097713,0.22204347294428423,2479.0
fibra4,RUMORE_AMBIENTALE,campione_1785921584502.wav,1.5,-47.74262770735001,-31.195243377731302,16.54738432961871,0.0,5994.096440542275,3940.1400586322648,0.2615158755909748,11040.0,11794.666666666666,10.0,9.75012561739956,16.216363734062806,74.03351064853764,3.309275066355556,0.02705096826685281,4636.0
fibra4,RUMORE_AMBIENTALE,campione_1785921586031.wav,1.5,-47.91617676864316,-32.70416280629236,15.212013962350802,0.0,5993.36687793346,3911.2552103543194,0.2604298630129781,11013.333333333332,11850.666666666666,1.3333333333333333,9.204649851659859,16.452360673015765,74.34298947532436,3.1508256182034957,-0.04842525357637624,4656.666666666667
fibra4,RUMORE_AMBIENTALE,campione_1785921587517.wav,1.5,-47.98729720036932,-32.65850756707024,15.328789633299081,0.0,5993.132984367536,3895.081174596446,0.26980039886833446,10898.0,11797.333333333332,0.6666666666666666,8.526245467837652,16.271454311814015,75.20230022034835,2.953270390713916,-0.01638313814349035,4769.333333333333
fibra4,RUMORE_AMBIENTALE,campione_1785921589062.wav,1.5,-47.37057401487906,-31.156852644189556,16.213721370689505,0.0,5994.12522180536,3922.9442250864317,0.2660014329799029,10993.333333333332,11782.666666666666,4.666666666666666,8.498905788539007,17.26353765633433,74.23755655512667,3.3615085534583375,-0.028547384786434524,4612.0
fibra4,RUMORE_AMBIENTALE,campione_1785921590574.wav,1.5,-46.93857519068324,-30.80036222782473,16.138212962858507,0.0,5994.048490910805,4018.654863463606,0.24081045688401712,11163.333333333332,11797.333333333332,3.333333333333333,9.59412006350672,19.51800749305496,70.88787244343833,3.6468934967675004,-0.06191294731742898,4504.0
fibra4,RUMORE_AMBIENTALE,campione_1785921592094.wav,1.5,-47.959283072210404,-32.258062756695224,15.70122031551518,0.0,5993.183852845458,3914.3252290936057,0.26799023743600714,10970.666666666666,11802.0,11999.333333333332,8.712825477835013,16.405830848139992,74.88134367402499,3.1770954441564063,-0.16905562614861766,4664.0
fibra4,RUMORE_AMBIENTALE,campione_1785921593620.wav,1.5,-47.949626887460894,-32.54540845262705,15.404218434833844,0.0,5993.193005980486,3911.968777292718,0.2324273208042216,11490.666666666666,11996.666666666666,2.6666666666666665,15.004461392489382,13.39397525775295,71.60156334975767,3.1027465538934544,-0.0025541357746814647,4619.333333333333
fibra4,RUMORE_AMBIENTALE,campione_1785921594974.wav,1.5,-47.57122859825525,-31.321198246499222,16.25003035175603,0.0,5993.285499108189,3935.8544512784624,0.2366280754864498,11318.0,11992.0,2.0,13.124825307799458,14.494328423897574,72.38084626830297,3.256263985227764,-0.2340284392634824,4571.333333333333
fibra4,RUMORE_AMBIENTALE,campione_1785921596492.wav,1.5,-47.37952956823073,-31.071088915117674,16.308440653113056,0.0,5993.941523732169,3951.0552066175187,0.25356327398592293,11065.333333333332,11843.333333333332,4.0,9.700952911126818,16.862540939993522,73.43650614887966,3.2568124664345905,0.14254471031718383,4524.0
fibra4,RUMORE_AMBIENTALE,campione_1785921598018.wav,1.5,-46.70478989804621,-31.30170129259205,15.403088605454158,0.0,5994.191245622497,3971.863334799694,0.2323859559654515,11338.666666666666,11995.333333333332,1.3333333333333333,13.057800230878893,15.977139107178974,70.96506066194215,3.4466191438924305,-0.23753256056602648,4372.0
fibra4,RUMORE_AMBIENTALE,campione_1785921599559.wav,1.5,-47.71891236220077,-31.282248004909977,16.43666435729079,0.0,5993.670464257574,3927.7848582485867,0.2465889431934158,11150.666666666666,11958.666666666666,1.3333333333333333,11.267551397072323,15.341724919323616,73.39072368360407,3.21194434819345,0.06723794295077834,4603.333333333333
fibra4,RUMORE_AMBIENTALE,campione_1785921601071.wav,1.5,-48.06235286779909,-33.05444774241069,15.007905125388405,0.0,5993.618914604654,3896.345119173917,0.26378382363571495,10967.333333333332,11853.333333333332,4.666666666666666,9.147779934912368,15.921786697595754,74.93043336749189,2.9853921233713194,-0.009206578857241526,4611.333333333333
fibra4,RUMORE_AMBIENTALE,campione_1785921602585.wav,1.5,-48.11058945056354,-32.92436391995426,15.186225530609278,0.0,5993.073532407364,3907.412945948095,0.25787571844853907,11068.0,11936.666666666666,5.333333333333333,10.637938299938078,15.356461494824316,74.0056002052376,2.921901421550353,-0.003657260676612646,4598.0
fibra4,RUMORE_AMBIENTALE,campione_1785921604120.wav,1.5,-47.709009258963476,-31.14728141531536,16.561727843648118,0.0,5993.5149963131835,3917.896781484185,0.261910626971998,11018.0,11862.0,1.3333333333333333,9.736043517755453,16.1999030037257,74.06405347851887,3.0181356826435763,-0.18451446422409193,4614.0
fibra4,RUMORE_AMBIENTALE,campione_1785921605631.wav,1.5,-47.73784889606132,-32.389503690362204,15.348345205699118,0.0,5993.764723833065,3878.9981569438232,0.2697183847592128,10836.0,11741.333333333332,19.333333333333332,7.645719217447073,16.31584819403006,76.03843258852285,3.300622061985485,-0.04984931435731725,4643.333333333333
fibra4,RUMORE_AMBIENTALE,campione_1785921607022.wav,1.5,-47.497990949361046,-30.874206577682948,16.6237843716781,0.0,5993.881847202719,3926.5310975697016,0.2617696707634596,11018.0,11818.0,12000.0,8.832080484492566,17.06462298444587,74.10329653106157,3.5961579861111144,0.16229199661572,4584.666666666667
fibra4,RUMORE_AMBIENTALE,campione_1785921608515.wav,1.5,-47.04802079543314,-30.13699498491755,16.91102581051559,0.0,5994.045089429774,3991.2944481469926,0.24648982981759235,11134.0,11811.333333333332,1.3333333333333333,9.814059812446667,18.397582186543517,71.78835800100983,3.9699254367456165,-0.06793767898590448,4498.0
fibra4,RUMORE_AMBIENTALE,campione_1785921610048.wav,1.5,-47.93949162662011,-30.67262625899357,17.26686536762654,0.0,5993.769822613273,3879.6810308658705,0.2705770899834777,10860.0,11782.666666666666,12.666666666666666,8.271290411844674,15.653965730866165,76.07474385728914,3.3171927293127395,0.08421645939665037,4776.666666666667
fibra4,RUMORE_AMBIENTALE,campione_1785921611561.wav,1.5,-47.07647583317923,-27.511416764923812,19.56505906825542,0.0,5994.696416768363,4012.6817480248023,0.24817169738823908,11188.666666666666,11784.666666666666,2.6666666666666665,10.445218981125718,17.86096414104874,71.69381687782554,5.083528736519488,-0.027971404433476975,4560.0
fibra4,RUMORE_AMBIENTALE,campione_1785921613084.wav,1.5,-47.19945479792891,-29.976687474115078,17.22276732381383,0.0,5993.946928625342,3977.386115992271,0.2594823944554921,11080.0,11780.0,2.6666666666666665,9.111847350824034,18.60190473545495,72.28624791372101,4.45406628321718,-0.023720991679129753,4540.666666666667
fibra4,RUMORE_AMBIENTALE,campione_1785921614607.wav,1.5,-47.26350855511445,-30.582522864454358,16.68098569066009,0.0,5993.6156697555525,3955.699736924861,0.25271005991452566,11056.0,11806.0,0.6666666666666666,9.386616452280728,17.213311580721616,73.40007196699764,3.6558123185770715,0.05325071184511637,4526.0
fibra4,RUMORE_AMBIENTALE,campione_1785921616133.wav,1.5,-48.06105676379984,-30.239787774643887,17.821268989155953,0.0,5993.8118995014665,3938.859780409152,0.2648219854958668,11016.666666666666,11790.666666666666,18.666666666666664,9.12080825323363,16.895895966150118,73.98329578061626,3.4695737726884053,0.05217915574207765,4696.666666666667
fibra4,RUMORE_AMBIENTALE,campione_1785921617664.wav,1.5,-47.99048253613168,-31.720619850062356,16.269862686069324,0.0,5992.980819585325,3893.22639442153,0.2619938113315228,10888.0,11820.666666666666,25.333333333333332,8.688565253963445,16.016086379320345,75.29534836671623,3.1179836539777277,-0.21566472302276776,4557.333333333333
